         398365 function calls (398313 primitive calls) in 1.398 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3206    0.001    0.000    0.002    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/element.py:1820(is_empty_element)
      128    0.000    0.000    0.002    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:285(handle_comment)
       60    0.000    0.000    0.002    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:127(handle_startendtag)
      936    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/util/ssl_.py:225(create_urllib3_context)
11088/11081    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     7014    0.001    0.000    0.001    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/element.py:2771(descendants)
     6511    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:430(__new__)
      6/4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      3/2    0.000    0.000    0.001    0.001 {built-in method builtins.exec}
       56    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:287(compile)
       56    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:330(_compile)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/encodings/idna.py:1(<module>)
     4104    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
    10587    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:2371(cast)
      936    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        9    0.000    0.000    0.001    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:226(handle_charref)
        3    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:743(compile)
       22    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
     4373    0.001    0.000    0.001    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/filter.py:259(_base_match)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
