         449974 function calls (425687 primitive calls) in 0.343 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
      278    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
    40/31    0.000    0.000    0.011    0.000 css_parser.py:746(parse_pseudo_open)
        2    0.000    0.000    0.004    0.002 request.py:1(<module>)
      242    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        3    0.000    0.000    0.074    0.025 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _colorize.py:13(ANSIColors)
      192    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.135    0.135 element.py:1(<module>)
        2    0.000    0.000    0.023    0.011 connection.py:1(<module>)
      106    0.000    0.000    0.000    0.000 enum.py:199(__get__)
       50    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      220    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.017    0.017 url.py:1(<module>)
       69    0.000    0.000    0.000    0.000 enum.py:762(__delattr__)
       52    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
      131    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
    27/14    0.000    0.000    0.207    0.015 {built-in method builtins.__import__}
      136    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      197    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       92    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
  121/103    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       39    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
        1    0.000    0.000    0.010    0.010 cookiejar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.035    0.035 client.py:1(<module>)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       22    0.000    0.000    0.001    0.000 typing.py:806(Optional)
    78/56    0.000    0.000    0.003    0.000 typing.py:574(__getitem__)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       14    0.000    0.000    0.000    0.000 enum.py:985(_find_data_type_)
        3    0.000    0.000    0.024    0.008 response.py:1(<module>)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       76    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        2    0.000    0.000    0.002    0.001 models.py:1(<module>)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      107    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
      167    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     12/1    0.000    0.000    0.000    0.000 functools.py:713(_c3_mro)
       12    0.000    0.000    0.000    0.000 functools.py:686(_c3_merge)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.020    0.020 adapters.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1927(_get_protocol_attrs)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.034    0.034 connectionpool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
        7    0.000    0.000    0.000    0.000 typing.py:1733(__getitem_inner__)
    24/21    0.000    0.000    0.030    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
        8    0.000    0.000    0.000    0.000 __init__.py:1409(_fixupParents)
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
        1    0.000    0.000    0.030    0.030 ssl_.py:1(<module>)
       51    0.000    0.000    0.000    0.000 enum.py:1437(_iter_member_by_value_)
        2    0.000    0.000    0.004    0.002 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
